NAMESPACE     NAME                                                     READY   STATUS    RESTARTS   AGE   IP           NODE                         NOMINATED NODE   READINESS GATES
kube-system   aws-node-j2zgh                                           2/2     Running   0          22h   10.2.5.6     ip-10-2-5-6.ec2.internal     <none>           <none>
kube-system   aws-node-xdl9n                                           2/2     Running   0          22h   10.2.6.158   ip-10-2-6-158.ec2.internal   <none>           <none>
kube-system   coredns-865697f9b4-k2km8                                 1/1     Running   0          22h   10.2.4.88    ip-10-2-4-165.ec2.internal   <none>           <none>
kube-system   coredns-865697f9b4-qsbvc                                 1/1     Running   0          22h   10.2.5.243   ip-10-2-5-6.ec2.internal     <none>           <none>
kube-system   ebs-csi-controller-6c6f8956d5-hxssh                      6/6     Running   0          22h   10.2.6.251   ip-10-2-6-158.ec2.internal   <none>           <none>
kube-system   ebs-csi-controller-6c6f8956d5-ntthq                      6/6     Running   0          22h   10.2.4.148   ip-10-2-4-165.ec2.internal   <none>           <none>
kube-system   ebs-csi-node-9f7rn                                       3/3     Running   0          22h   10.2.6.249   ip-10-2-6-72.ec2.internal    <none>           <none>
kube-system   ebs-csi-node-f7b82                                       3/3     Running   0          22h   10.2.5.113   ip-10-2-5-6.ec2.internal     <none>           <none>
kube-system   ebs-csi-node-lfhwv                                       3/3     Running   0          22h   10.2.4.160   ip-10-2-4-165.ec2.internal   <none>           <none>
kube-system   ebs-csi-node-xcw62                                       3/3     Running   0          22h   10.2.6.209   ip-10-2-6-158.ec2.internal   <none>           <none>
kube-system   efs-csi-controller-7855779d45-7nd6n                      3/3     Running   0          22h   10.2.6.247   ip-10-2-6-72.ec2.internal    <none>           <none>
kube-system   efs-csi-controller-7855779d45-qsts7                      3/3     Running   0          22h   10.2.5.49    ip-10-2-5-6.ec2.internal     <none>           <none>
kube-system   efs-csi-node-2hst4                                       3/3     Running   0          22h   10.2.6.72    ip-10-2-6-72.ec2.internal    <none>           <none>
kube-system   efs-csi-node-nctg9                                       3/3     Running   0          22h   10.2.5.6     ip-10-2-5-6.ec2.internal     <none>           <none>
kube-system   efs-csi-node-qxq9z                                       3/3     Running   0          22h   10.2.6.158   ip-10-2-6-158.ec2.internal   <none>           <none>
kube-system   efs-csi-node-vm847                                       3/3     Running   0          22h   10.2.4.165   ip-10-2-4-165.ec2.internal   <none>           <none>
kube-system   kube-proxy-8f7g2                                         1/1     Running   0          22h   10.2.4.165   ip-10-2-4-165.ec2.internal   <none>           <none>
kube-system   kube-proxy-9jpjb                                         1/1     Running   0          22h   10.2.6.158   ip-10-2-6-158.ec2.internal   <none>           <none>
kube-system   kube-proxy-bts4q                                         1/1     Running   0          22h   10.2.6.72    ip-10-2-6-72.ec2.internal    <none>           <none>
kube-system   kube-proxy-jrgqt                                         1/1     Running   0          22h   10.2.5.6     ip-10-2-5-6.ec2.internal     <none>           <none>
prometheus    alertmanager-prometheus-kube-prometheus-alertmanager-0   2/2     Running   0          21h   10.2.6.37    ip-10-2-6-158.ec2.internal   <none>           <none>
prometheus    prometheus-grafana-7b847f6c-92q92                        3/3     Running   0          21h   10.2.6.236   ip-10-2-6-72.ec2.internal    <none>           <none>
prometheus    prometheus-kube-prometheus-operator-86c77ccd-cqpcz       1/1     Running   0          21h   10.2.4.25    ip-10-2-4-165.ec2.internal   <none>           <none>
prometheus    prometheus-kube-state-metrics-65997d9c78-26bkc           1/1     Running   0          21h   10.2.6.112   ip-10-2-6-158.ec2.internal   <none>           <none>
prometheus    prometheus-prometheus-kube-prometheus-prometheus-0       2/2     Running   0          21h   10.2.4.156   ip-10-2-4-165.ec2.internal   <none>           <none>
prometheus    prometheus-prometheus-node-exporter-5vtdc                1/1     Running   0          21h   10.2.4.165   ip-10-2-4-165.ec2.internal   <none>           <none>
prometheus    prometheus-prometheus-node-exporter-ff2lv                1/1     Running   0          21h   10.2.6.158   ip-10-2-6-158.ec2.internal   <none>           <none>
prometheus    prometheus-prometheus-node-exporter-fkd4x                1/1     Running   0          21h   10.2.5.6     ip-10-2-5-6.ec2.internal     <none>           <none>
prometheus    prometheus-prometheus-node-exporter-x4wzr                1/1     Running   0          21h   10.2.6.72    ip-10-2-6-72.ec2.internal    <none>           <none>
